file_name,no_of_ifs,no_of_loop,no_of_break,priority_queue_present,no_of_sort,hash_set_present,hash_map_present,recursion_present,nested_loop_depth,complexity
1001.java,0,0,0,0,0,0,0,0,0,1
1100.java,1,1,0,0,0,0,0,0,1,1
1101.java,2,0,0,0,0,0,0,0,0,1
1102.java,0,0,0,0,0,0,0,0,0,1
1103.java,11,0,0,0,0,0,0,0,0,1
1104.java,5,2,0,0,1,0,0,0,1,1
1105.java,2,2,0,0,0,0,0,0,1,1
1106.java,0,1,0,0,0,0,0,0,1,1
1107.java,0,0,0,0,0,0,0,0,0,1
1108.java,0,0,0,0,0,0,0,0,0,1
1109.java,0,0,0,0,0,0,0,0,0,1
1110.java,4,1,0,0,0,0,0,0,1,1
1111.java,10,2,0,0,0,0,0,0,1,1
1112.java,1,0,0,0,0,0,0,0,0,1
1113.java,1,2,0,0,0,0,0,0,1,1
1114.java,2,1,0,0,0,0,0,0,1,1
1115.java,1,1,0,0,0,0,0,0,1,1
1116.java,3,0,0,0,0,0,0,0,0,1
1117.java,2,0,0,0,0,0,0,0,0,1
1118.java,1,0,0,0,0,0,0,0,0,1
1119.java,0,2,0,0,0,0,0,0,1,1
1120.java,0,0,0,0,0,0,0,0,0,1
1121.java,1,0,0,0,0,0,0,0,0,1
1122.java,1,0,0,0,0,0,0,0,0,1
1123.java,2,1,1,0,0,0,0,0,1,1
1124.java,2,0,0,0,0,0,0,0,0,1
1125.java,0,0,0,0,0,0,0,0,0,1
1126.java,0,1,0,0,0,0,0,0,1,1
1127.java,0,0,0,0,0,0,0,0,0,1
1128.java,0,1,0,0,0,0,0,0,1,1
1129.java,0,1,0,0,0,0,0,0,1,1
1130.java,0,3,0,0,0,0,0,0,1,1
1131.java,2,0,0,0,0,0,0,0,0,1
1132.java,7,0,0,0,0,0,0,1,0,1
1133.java,1,1,0,0,0,0,0,0,1,1
1134.java,1,0,0,0,0,0,0,0,0,1
1135.java,0,1,0,0,0,0,0,0,1,1
1136.java,0,1,0,0,0,0,0,0,1,1
1137.java,1,0,0,0,0,0,0,0,0,1
1138.java,1,0,0,0,0,0,0,0,0,1
1139.java,2,0,0,0,0,0,0,0,0,1
1140.java,1,0,0,0,0,0,0,0,0,1
1141.java,3,1,0,0,0,0,0,0,1,1
1142.java,2,1,0,0,0,0,0,0,1,1
1143.java,7,2,0,0,0,0,0,0,1,1
1144.java,5,1,0,0,0,0,0,0,1,1
1145.java,0,0,0,0,0,0,0,0,0,1
1146.java,6,1,0,0,0,0,0,0,1,1
1147.java,0,0,0,0,0,0,0,0,0,1
1148.java,4,2,0,0,0,0,0,0,1,1
1149.java,1,0,0,0,0,0,0,0,0,1
1150.java,1,0,0,0,0,0,0,0,0,1
1151.java,1,1,0,0,0,0,0,0,1,1
1152.java,6,1,0,0,0,0,0,0,1,1
1153.java,2,1,1,0,0,0,0,0,1,1
1154.java,1,0,0,0,0,0,0,0,0,1
1155.java,4,0,0,0,0,0,0,0,0,1
1156.java,5,0,0,0,0,0,0,0,0,1
1173.java,1,1,0,0,0,0,0,0,1,1
1175.java,0,1,0,0,0,0,0,0,1,1
1176.java,0,0,0,0,0,0,0,0,0,1
1177.java,1,1,0,0,0,0,0,0,1,1
1180.java,2,6,0,0,0,0,0,0,2,1
1181.java,8,2,0,0,0,0,0,0,1,1
